usbr_id,USBR_PE,tz,obs_desc,site_desc
KEE,AF,P,Reservoir Storage - Acre-Feet,KEECHELUS RESERVOIR-YAK AT MARTIN AND WEATHER STA.
KEE,FB,P,Forebay Elevation - Feet,KEECHELUS RESERVOIR-YAK AT MARTIN AND WEATHER STA.
KEE,FB,P,Forebay Elevation - Feet,KEECHELUS RESERVOIR-YAK AT MARTIN AND WEATHER STA.
KEE,GH,P,Gauge Height - Feet,KEECHELUS RESERVOIR-YAK AT MARTIN AND WEATHER STA.
KEE,GH,P,Gauge Height - Feet,KEECHELUS RESERVOIR-YAK AT MARTIN AND WEATHER STA.
KEE,OB,P,Air Temperature - Deg. F,KEECHELUS RESERVOIR-YAK AT MARTIN AND WEATHER STA.
KEE,OB,P,Air Temperature - Deg. F,KEECHELUS RESERVOIR-YAK AT MARTIN AND WEATHER STA.
KEE,PC,P,"PRECIP, CUMULATIVE (INCHES OF WATER)",KEECHELUS RESERVOIR-YAK AT MARTIN AND WEATHER STA.
KEE,PC,P,"PRECIP, CUMULATIVE (INCHES OF WATER)",KEECHELUS RESERVOIR-YAK AT MARTIN AND WEATHER STA.
KEE,Q,P,Discharge - CFS,KEECHELUS RESERVOIR-YAK AT MARTIN AND WEATHER STA.
KEE,Q,P,Discharge - CFS,KEECHELUS RESERVOIR-YAK AT MARTIN AND WEATHER STA.
KTBI,PP,M,"PRECIP, PP",Kettle Butte
LUC,QU,M,Flow-cfs,
MILI,QT,M,Total Flow,
MNTI,PP,M,"PRECIP, PP",Monteview
OCHO,QU,P,Discharge - CFS OCHOCO INFLOW,
OCH,QT,P,Discharge - CFS OCHOCO OUTFLOW,
OWCO,QJ,M,Flow Canal,
OWY,QU,M,Inflow,
RIM,AF,P,Reservoir Storage - Acre-Feet,"RIMROCK RESERVOIR,TIETON RIVER AND WEATHER STATION"
RIM,AF,P,Reservoir Storage - Acre-Feet,"RIMROCK RESERVOIR,TIETON RIVER AND WEATHER STATION"
RIM,FB,P,Forebay Elevation - Feet,"RIMROCK RESERVOIR,TIETON RIVER AND WEATHER STATION"
RIM,FB,P,Forebay Elevation - Feet,"RIMROCK RESERVOIR,TIETON RIVER AND WEATHER STATION"
RIM,GH,P,Gauge Height - Feet,"RIMROCK RESERVOIR,TIETON RIVER AND WEATHER STATION"
RIM,GH,P,Gauge Height - Feet,"RIMROCK RESERVOIR,TIETON RIVER AND WEATHER STATION"
RIM,OB,P,Air Temperature - Deg. F,"RIMROCK RESERVOIR,TIETON RIVER AND WEATHER STATION"
RIM,OB,P,Air Temperature - Deg. F,"RIMROCK RESERVOIR,TIETON RIVER AND WEATHER STATION"
RIM,PC,P,"PRECIP, CUMULATIVE (INCHES OF WATER)","RIMROCK RESERVOIR,TIETON RIVER AND WEATHER STATION"
RIM,PC,P,"PRECIP, CUMULATIVE (INCHES OF WATER)","RIMROCK RESERVOIR,TIETON RIVER AND WEATHER STATION"
RIM,Q,P,Discharge - CFS,"RIMROCK RESERVOIR,TIETON RIVER AND WEATHER STATION"
RIM,Q,P,Discharge - CFS,"RIMROCK RESERVOIR,TIETON RIVER AND WEATHER STATION"
SELM,OB,M,Air Temperature - Deg. F,Seeley Lake Ranger Station
SELM,PC,M,"PRECIP, CUMMULATIVE (INCHES OF WATER) (20""FP NWS)",Seeley Lake Ranger Station
SUMM,OB,M,Air Temperature - Deg. F,"Summit, MT"
SUMM,PC,M,"PRECIP, CUMMULATIVE, (INCHES OF WATER) (20""FP NWS)","Summit, MT"
SWLM,OB,M,Air Temperature - Deg. F,Swan Lake
SWLM,PC,M,"PRECIP, CUMMULATIVE, (INCHES OF WATER) (20""FP NWS)",Swan Lake
WGLM,OB,M,Air Temperature - Deg. F,"West Glacier, MT"
WGLM,PC,M,"PRECIP, CUMMULATIVE, (INCHES OF WATER) (20""FP NWS)","West Glacier, MT"
WIC,AF,P,Reservoir Storage - Acre-Feet,"Wickiup Reservoir near LaPine, OR"
WIC,FB,P,Forebay Elevation - Feet,"Wickiup Reservoir near LaPine, OR"
WICO,GH,P,Gage Height - Feet,"Deschutes River below Wickiup Res., OR"
WICO,Q,P,Discharge - CFS,"Deschutes River below Wickiup Res., OR"
WIWO,OB,P,Air Temperature - Deg. F,"Wickiup Weather Station, OR"
WIWO,PC,P,"PRECIP, CUMULATIVE (INCHES OF WATER) (12""Belfort)","Wickiup Weather Station, OR"
