usbr_id,USBR_PE,tz,obs_desc,site_desc
BSCO,Q,P,flow cfs,"Bieberstedt Creek abv Willow Lake nr Butte Falls,OR"
BSEI,CH,M,Canal Gauge Height (feet),New York Canal Diversion from Boise River
BSEI,QC,M,Canal Discharge - CFS,New York Canal Diversion from Boise River
BSKI,OB,M,Air Temperature - Deg. F,Big Smokey RS Weather Station
BSKI,PC,M,"PRECIP, CUMULATIVE (INCHES OF WATER) (30""Belfort)",Big Smokey RS Weather Station
BTSI,GH,M,Gauge Height - Feet,"Boise River near Twin Springs, Idaho"
BTSI,Q,M,Discharge - CFS,"Boise River near Twin Springs, Idaho"
BUL,AF,M,Reservoir Storage - Acre-Feet,"Bully Creek Dam and Reservoir near Vale, OR"
BUL,CH,M,Malheur River Feed Canal Weir at Reservoir,"Bully Creek Dam and Reservoir near Vale, OR"
BUL,FB,M,Forebay Elevation - Feet,"Bully Creek Dam and Reservoir near Vale, OR"
BUL,OB,M,Air Temperature - Deg. F,"Bully Creek Dam and Reservoir near Vale, OR"
BUL,PC,M,"PRECIP, CUMULATIVE (INCHES OF WATER) (12""Belfort)","Bully Creek Dam and Reservoir near Vale, OR"
BUL,QC,M,Canal Discharge - cfs,"Bully Creek Dam and Reservoir near Vale, OR"
BUM,AF,P,Reservoir Storage - Acre-Feet,BUMPING RESERVOIR RIVER AND WEATHER STATION
BUM,FB,P,Forebay Elevation - Feet,BUMPING RESERVOIR RIVER AND WEATHER STATION
BUM,GH,P,Gauge Height - Feet,BUMPING RESERVOIR RIVER AND WEATHER STATION
BUM,OB,P,Air Temperature - Deg. F,BUMPING RESERVOIR RIVER AND WEATHER STATION
BUM,PC,P,"PRECIP, CUMULATIVE (INCHES OF WATER)",BUMPING RESERVOIR RIVER AND WEATHER STATION
BUM,Q,P,Discharge - CFS,BUMPING RESERVOIR RIVER AND WEATHER STATION
CACO,CH,P,Canal Gauge Height (feet),Cascade Canal near Fish Lake
CACO,QC,P,Canal Discharge - CFS,Cascade Canal near Fish Lake
CEDC,OB,P,Air Temperature - Deg. F,Cedarville
CEDC,PC,P,"PRECIP, CUMULATIVE",Cedarville
CENO,CH,P,Canal Gauge Height (feet),Central Oregon Canal
CENO,QC,P,Canal Discharge - CFS,Central Oregon Canal
CFMM,GH,M,Gauge Height - Feet,"Flathead River at Columbia Falls, MT"
CFMM,Q,M,Discharge - CFS,"Flathead River at Columbia Falls, MT"
CFSW,OB,P,Air Temperature - Deg. F,Chandler Fish Screen Weather Station
CGWW,GH,P,Gauge Height - Feet,COWICHE CREEK AB. MOUTH
CHCW,CH,P,Canal Gauge Height (feet),CHANDLER - PROSSER POWER CANAL
CHCW,QC,P,Canal Discharge - CFS,CHANDLER - PROSSER POWER CANAL
CHRW,GH,P,Gauge Height - Feet,"CHERRY CREEK (THRALL RD.,KITTITAS VAL)"
CHRW,Q,P,Discharge - CFS,"CHERRY CREEK (THRALL RD.,KITTITAS VAL)"
CHVO,OB,P,Air Temperature - Deg. F,Christmas Valley
CHVO,PC,P,"PRECIP, CUMULATIVE",Christmas Valley
CJDW,OB,P,Air Temperature - Deg. F,Chief Joseph Dam
CJDW,PC,P,"PRECIP, CUMULATIVE",Chief Joseph Dam
CLE,AF,P,Reservoir Storage - Acre-Feet,"CLE ELUM RESERVOIR,RIVER AND WEATHER STATION"
CLE,FB,P,Forebay Elevation - Feet,"CLE ELUM RESERVOIR,RIVER AND WEATHER STATION"
CLE,GH,P,Gauge Height - Feet,"CLE ELUM RESERVOIR,RIVER AND WEATHER STATION"
CLE,OB,P,Air Temperature - Deg. F,"CLE ELUM RESERVOIR,RIVER AND WEATHER STATION"
CLE,PC,P,"PRECIP, CUMULATIVE (INCHES OF WATER)","CLE ELUM RESERVOIR,RIVER AND WEATHER STATION"
CLE,Q,P,Discharge - CFS,"CLE ELUM RESERVOIR,RIVER AND WEATHER STATION"
CLFW,GH,P,Gauge Height - Feet,"NACHES RIVER NEAR CLIFFDELL ,WA."
CLFW,OB,P,Air Temperature - Deg. F,"NACHES RIVER NEAR CLIFFDELL ,WA."
CLFW,Q,P,Discharge - CFS,"NACHES RIVER NEAR CLIFFDELL ,WA."
CLR,FB,P,Forebay Elevation - Feet,CLEAR LAKE (ELEV)
CLS,AF,P,Reservoir Storage - Acre-Feet,"Cold Springs Dam near Hermiston, OR"
CLS,FB,P,Forebay Elevation - Feet,"Cold Springs Dam near Hermiston, OR"
CLYW,GH,P,Gauge Height - Feet,CLEAR LAKE OUTFLOW (N FORK TIETON R. BLW CLEAR LAKE)
CMO,AF,M,Reservoir Storage - Acre-Feet,"Lake Como near Hamilton, MT"
CMO,FB,M,Forebay Elevation - Feet,"Lake Como near Hamilton, MT"
CMO,OB,M,Air Temperature - Deg. F,"Lake Como near Hamilton, MT"
CNCI,OB,M,Air Temperature - Deg. F,Council Weather Station
CNCI,PC,M,"PRECIP, CUMULATIVE (INCHES OF WATER) (20in FP NWS)",Council Weather Station
COVM,OB,M,Air Temperature - Deg. F,Corvallis
COVM,PC,M,"PRECIP, CUMULATIVE",Corvallis
CRA,AF,P,Reservoir Storage - Acre-Feet,"Crane Prairie Reservoir nr. LaPine, OR"
CRA,FB,P,Forebay Elevation - Feet,"Crane Prairie Reservoir nr. LaPine, OR"
CRAO,GH,P,Gauge Height - Feet,"Deschutes River below Crane Prairie Res., OR"
CRAO,Q,P,Discharge - CFS,"Deschutes River below Crane Prairie Res., OR"
CRCI,QC,M,"Canal Discharge - CFS   Cross Cut Canal at End   Henry's Fork to Teton , ID",
CRCO,CH,P,Canal Gauge Height (feet),"Crooked River Feed Canal near Prineville, OR"
CRCO,QC,P,Canal Discharge - CFS,"Crooked River Feed Canal near Prineville, OR"
CRE,AF,P,Reservoir Storage - Acre-Feet,"Crescent Lake near Crescent, OR"
CRE,FB,P,Forebay Elevation - Feet,"Crescent Lake near Crescent, OR"
CREO,GH,P,Gauge Height - Feet,"Crescent Creek at Crescent Lake, OR"
CREO,Q,P,Discharge - CFS,"Crescent Creek at Crescent Lake, OR"
CRMI,OB,M,Air Temperature - Deg. F,"Craters of the Moon, ID"
CRMI,PC,M,"PRECIP, CUMULATIVE (INCHES OF WATER) (20in Belfort)","Craters of the Moon, ID"
CRPO,GH,P,Gauge Height - Feet,"Crooked River above Prineville Reservoir, nr Post OR"
CRPO,OB,P,Air Temperature - Deg. F,"Crooked River above Prineville Reservoir, nr Post OR"
CRPO,Q,P,Discharge - CFS,"Crooked River above Prineville Reservoir, nr Post OR"
CRSM,OB,M,Air Temperature - Deg. F,Creston
CRSM,PC,M,"PRECIP, CUMULATIVE",Creston
CRSO,GH,P,Gauge Height - Feet,"Crooked Riv at Smith Rock St. Park nr Terrebonne, OR"
CRSO,OB,P,Air Temperature - Deg. F,"Crooked Riv at Smith Rock St. Park nr Terrebonne, OR"
CRSO,Q,P,Discharge - CFS,"Crooked Riv at Smith Rock St. Park nr Terrebonne, OR"
CRVO,OB,P,Air Temperature - Deg. F,Corvallis
CRVO,PC,P,"PRECIP, CUMULATIVE",Corvallis
CSAO,CH,P,Canal Gauge Height (feet),US A Line Canal at Cold Springs Res nr Hermiston OR
CSAO,QC,P,Canal Discharge - CFS,US A Line Canal at Cold Springs Res nr Hermiston OR
CSC,AF,M,Reservoir Storage - Acre-Feet,"Cascade Dam and Lake Cascade at Cascade, Idaho"
CSC,FB,M,Forebay Elevation - Feet,"Cascade Dam and Lake Cascade at Cascade, Idaho"
CSCI,GH,M,Gauge Height - Feet,"North Fork Payette River at Cascade, Idaho"
CSCI,Q,M,Discharge - CFS,"North Fork Payette River at Cascade, Idaho"
CSC,OB,M,Air Temperature - Deg. F,"Cascade Dam and Lake Cascade at Cascade, Idaho"
CSC,PC,M,"PRECIP, CUMULATIVE (INCHES OF WATER) (20""Belfort)","Cascade Dam and Lake Cascade at Cascade, Idaho"
CSRO,CH,P,Canal Gauge Height (feet),"Cold Springs Recharge Canal near Hermiston, OR"
CSRO,QC,P,Canal Discharge - CFS,"Cold Springs Recharge Canal near Hermiston, OR"
CVAI,OB,M,Air Temperature - Deg. F,CENTERVILLE ARBAUGH RANCH
CVAI,PC,M,"PRECIP, CUMULATIVE (INCHES OF WATER) (20""FP NWS)",CENTERVILLE ARBAUGH RANCH
CXCI,QC,M,"Canal Discharge - CFS   Cross Cut Canal at Head   Henry's Fork to Teton , ID",
DANO,OB,M,Air Temperature - Deg. F,"Danner, OR"
DANO,PC,M,"PRECIP, CUMULATIVE (INCHES OF WATER) (12""Belfort)","Danner, OR"
DCMO,CH,P,Canal Gauge Height (feet),Deschutes County MID Canal
DCMO,QC,P,Diversion Discharge - CFS (flowmeter),Deschutes County MID Canal
DEBO,GH,P,Gauge Height - Feet,"Deschutes River Below Bend, OR"
DEBO,Q,P,Discharge - CFS,"Deschutes River Below Bend, OR"
DED,AF,M,Reservoir Storage - Acre-Feet,Deadwood River below Deadwood Dam
DED,FB,M,Forebay Elevation - Feet,Deadwood River below Deadwood Dam
DEDI,GH,M,Gauge Height - Feet,Deadwood River below Deadwood Dam
DEDI,Q,M,Discharge - CFS,Deadwood River below Deadwood Dam
DEFO,OB,P,Air Temperature - Deg. F,Deer Flat
DEFO,PC,P,"PRECIP, CUMULATIVE",Deer Flat
DEPW,GH,P,Gauge Height - Feet,DEEP CREEK BELOW COPPER CREEK
DEPW,OB,P,Air Temperature - Deg. F,DEEP CREEK BELOW COPPER CREEK
DICO,CH,P,Canal Gauge Height (feet),"Dead Indian Collection Canal nr. Pinehurst, OR"
DICO,QC,P,Canal Discharge - CFS,"Dead Indian Collection Canal nr. Pinehurst, OR"
DLEO,CH,P,Canal Gauge Height (feet),"Dillon Canal near Stanfield, OR"
DLEO,QC,P,Canal Discharge - CFS,"Dillon Canal near Stanfield, OR"
DLLO,GH,P,Gauge Height - Feet,"Tualatin River near Dilley, Oregon"
DLLO,Q,P,Discharge - CFS,"Tualatin River near Dilley, Oregon"
DRLM,OB,M,Air Temperature - Deg. F    Deer Lodge,
DRLM,PC,M,"PRECIP, CUMULATIVE",Deer Lodge
DRYI,GH,M,Gauge Height - Feet,"Dry Bed near Ririe, ID"
DRYI,Q,M,Discharge - CFS,"Dry Bed near Ririe, ID"
DTRO,OB,P,Air Temperature - Deg. F,Detroit Lake
DTRO,PC,P,"PRECIP, CUMULATIVE",Detroit Lake
EASW,GH,P,Gauge Height - Feet,YAKIMA RIVER AT EASTON WA.
EASW,Q,P,Discharge - CFS,YAKIMA RIVER AT EASTON WA.
EBCO,GH,P,Gauge Height - Feet,"East Birch Creek at Pilot Rock, OR"
EBCO,OB,P,Air Temperature - Degrees F,"East Birch Creek at Pilot Rock, OR"
EBCO,Q,P,Discharge in CFS,"East Birch Creek at Pilot Rock, OR"
ECHO,OB,M,Air Temperature - Deg. F,Echo
ECHO,PC,M,"PRECIP, CUMULATIVE",Echo
EGSO,GH,P,Gauge Height - Feet,"Emigrant Creek Above Green Springs Powerplant, OR"
EGSO,Q,P,Discharge - CFS,"Emigrant Creek Above Green Springs Powerplant, OR"
ELCI,CH,M,Canal Gauge Height (feet),Eagle Rock Canal near Hwy 26
ELCI,QC,M,Canal Discharge - CFS,Eagle Rock Canal near Hwy 26
ELNW,GH,P,Gauge Height - Feet,"YAKIMA RIVER NEAR ELLENSBURG ,WA."
ELNW,Q,P,Discharge - CFS,"YAKIMA RIVER NEAR ELLENSBURG ,WA."
EMI,AF,P,Reservoir Storage - Acre-Feet,"Emigrant Dam and Lake near Ashland, OR"
EMI,CH,P,Canal Gauge Height (feet),"Emigrant Dam and Lake near Ashland, OR"
EMI,FB,P,Forebay Elevation - Feet,"Emigrant Dam and Lake near Ashland, OR"
EMI,GH,P,Gauge Height - Feet,"Emigrant Dam and Lake near Ashland, OR"
EMI,OB,P,Air Temperature - Deg. F,"Emigrant Dam and Lake near Ashland, OR"
EMI,PC,P,"PRECIP, CUMULATIVE (INCHES OF WATER) (12""Belfort)","Emigrant Dam and Lake near Ashland, OR"
EMI,QC,P,East Lateral Canal Flow - CFS,"Emigrant Dam and Lake near Ashland, OR"
EMI,Q,P,Discharge (River + Spillway) CFS,"Emigrant Dam and Lake near Ashland, OR"
EMM,AF,M,Reservoir Storage - Acre-Feet,"Black Canyon Dam and Reservoir near Emmett, ID"
EMM,CH,M,Canal Stage - Emmett Northside Canal ETNI - Feet,"Black Canyon Dam and Reservoir near Emmett, ID"
EMM,FB,M,Forebay Elevation - Feet,"Black Canyon Dam and Reservoir near Emmett, ID"
EMM,GH,M,Gauge Height - Feet,"Black Canyon Dam and Reservoir near Emmett, ID"
EMM,Q,M,Discharge - CFS,"Black Canyon Dam and Reservoir near Emmett, ID"
EPCO,CH,P,Gauge Height - Feet,"EPI Canal blw Cobleigh Rd nr Butte Falls,OR"
EPCO,QC,P,Canal Discharge - CFS,"EPI Canal blw Cobleigh Rd nr Butte Falls,OR"
EPTO,GH,P,Gauge Height - Feet,"Antelope Creek near Eagle Point, OR"
EPTO,Q,P,Discharge - cfs,"Antelope Creek near Eagle Point, OR"
ETCW,CH,P,Canal Gauge Height (feet),Ellensburg Town Canal
ETCW,QC,P,Canal Discharge - CFS,Ellensburg Town Canal
ETNI,CH,M,Canal Stage - Feet,Emmett I.D Northside Canal
ETNI,QC,M,Canal Discharge - CFS,Emmett I.D Northside Canal
ETSI,CH,M,Canal Gauge Height (feet),Emmett I.D. Southside Canal
ETSI,QC,M,Canal Discharge - CFS,Emmett I.D. Southside Canal
FAFI,OB,M,Air Temperature - Deg. F,Fairfield
FAFI,PC,M,"PRECIP, CUMULATIVE",Fairfield
FALI,GH,M,Gauge Height - Feet,"Falls River near Squirrel, ID"
FALI,Q,M,Discharge - CFS,"Falls River near Squirrel, ID"
FCEO,CH,P,Canal Gauge Height (feet),"Umatilla Project Feed Canal near Echo, OR"
FCEO,QC,P,Canal Discharge - CFS,"Umatilla Project Feed Canal near Echo, OR"
FCFM,GH,M,Gauge Height - Feet,"North Fork Flathead River near Columbia Falls, MT"
FCFM,Q,M,Discharge - CFS,"North Fork Flathead River near Columbia Falls, MT"
FCSO,CH,P,Canal Gauge Height (feet),"Umatilla Project Feed Canal near Hermiston, OR"
FCSO,QC,P,Canal Discharge - CFS,"Umatilla Project Feed Canal near Hermiston, OR"
FIS,AF,P,Reservoir Storage - Acre-Feet,"Fish Lake near Ashland, OR"
FIS,FB,P,Forebay Elevation - Feet,"Fish Lake near Ashland, OR"
FIS,OB,P,Air Temperature - Deg. F,"Fish Lake near Ashland, OR"
FIS,Q,P,Discharge - CFS,"Fish Lake near Ashland, OR"
FLGY,GH,M,Gauge Height - Feet,"Snake River near Flagg Ranch, WY"
FLGY,Q,M,Discharge - CFS,"Snake River near Flagg Ranch, WY"
FOGO,OB,P,Air Temperature - Deg. F,Forest Grove
FOGO,PC,P,"PRECIP, CUMULATIVE",Forest Grove
FOR,AF,P,Reservoir Storage - Acre-Feet,"Fourmile Lake near Ashland, OR"
FOR,CH,P,Canal Gauge Height (feet),"Fourmile Lake near Ashland, OR"
FOR,FB,P,Forebay Elevation - Feet,"Fourmile Lake near Ashland, OR"
FOR,OB,P,Air Temperature - Deg. F,"Fourmile Lake near Ashland, OR"
FOR,QC,P,Canal Discharge - CFS,"Fourmile Lake near Ashland, OR"
FSHO,GH,P,"Gage Height, Feet",NF Little Butte Cr below Fish Lake
FSHO,Q,P,Discharge - CFS,NF Little Butte Cr below Fish Lake
FTHI,OB,M,Air Temperature - Deg. F,Fort Hall
FTHI,PC,M,"PRECIP, CUMULATIVE",Fort Hall
FURO,CH,P,Canal Gauge Height (feet),"Furnish Canal above Crayne-Lisle Canal nr Echo, OR"
FURO,QC,P,Canal Discharge - CFS,"Furnish Canal above Crayne-Lisle Canal nr Echo, OR"
GAVI,OB,M,Air Temperature - Deg. F,"Garden Valley Ranger Station, ID"
GAVI,PC,M,"PRECIP, CUMULATIVE (INCHES OF WATER) 12""Belfort)","Garden Valley Ranger Station, ID"
GCCO,GH,P,Gauge Height - Feet,Griffin Creek mouth at Central Point OR
GCCO,Q,P,Discharge - CFS,Griffin Creek mouth at Central Point OR
GCDW,OB,P,Air Temperature - Deg. F,Grand Coulee Dam
GCDW,PC,P,"PRECIP, CUMULATIVE",Grand Coulee Dam
GCJO,GH,P,Gauge Height - Feet,GRIFFIN CR BL MURPHY CR
GCJO,Q,P,Discharge - cfs,GRIFFIN CR BL MURPHY CR
GCKY,OB,M,Air Temperature - Deg. F,Glade Creek
GCKY,PC,M,"PRECIP, CUMULATIVE (INCHES OF WATER) (30""Belfort)",Glade Creek
GDMM,OB,M,Air Temperature - Deg. F,Gibson Dam Weather Station
GDMM,PC,M,"PRECIP, CUMMULATIVE (INCHES OF WATER) (20""FB NWS)",Gibson Dam Weather Station
GDVI,OB,M,Air Temperature - Deg. F,Grand View
GDVI,PC,M,"PRECIP, CUMULATIVE",Grand View
GERW,OB,P,Air Temperature - Deg. F,George
GERW,PC,P,"PRECIP, CUMULATIVE",George
GFRI,OB,M,Air Temperature - Deg. F,Glenns Ferry
GFRI,PC,M,"PRECIP, CUMULATIVE",Glenns Ferry
GILO,GH,P,Gauge Height - Feet,"South Fork Little Butte Creek at Gilkey, OR"
GILO,OB,P,Air Temperature - Deg. F,"South Fork Little Butte Creek at Gilkey, OR"
GILO,PC,P,"Precipitation, Cumulative (Inches of Water) (TB)","South Fork Little Butte Creek at Gilkey, OR"
GILO,Q,P,Discharge - cfs,"South Fork Little Butte Creek at Gilkey, OR"
GOLW,OB,P,Air Temperature - Deg. F,Goldendale
GOLW,PC,P,"PRECIP, CUMULATIVE",Goldendale
GREY,GH,M,Gauge Height - Feet,"Greys River above Reservoir near Alpine, WY"
GREY,Q,M,Discharge - CFS,"Greys River above Reservoir near Alpine, WY"
GRS,AF,M,Reservoir Storage - Acre-Feet,"Grassy Lake near Moran, WY"
GRS,FB,M,Forebay Elevation - Feet,"Grassy Lake near Moran, WY"
GRS,GH,M,Gauge Height - Feet  (outlet channel),"Grassy Lake near Moran, WY"
GRSI,OB,M,Air Temperature - Deg. F,"Grouse, ID"
